IdOperacion,Sucursal,Rubro,Moneda,IMP_Capital,Saldo_Capital,Rubro_GastoJudicial,Saldo_GastoJudicial,Regional
0-00000000-00,200,0,0,0.00,0.00,8650410100000,15692.48,200
0-00000000-00,200,0,101,0.00,0.00,8650420100000,344.86,200
0-00000000-00,201,0,0,0.00,0.00,8650410100000,4801.00,200
0-00000000-00,201,0,101,0.00,0.00,8650420100000,594.74,200
0-00000000-00,202,0,0,0.00,0.00,8650410100000,26137.56,200
0-00000000-00,202,0,101,0.00,0.00,8650420100000,35832.85,200
0-00000000-00,203,0,0,0.00,0.00,8650410100000,7934.66,200
0-00000000-00,205,0,0,0.00,0.00,8650410100000,300.00,200
0-00000000-00,205,0,101,0.00,0.00,8650420100000,9018.38,200
0-00000000-00,208,0,0,0.00,0.00,8650410100000,688.52,200
0-00000000-00,210,0,101,0.00,0.00,8650420100000,500.00,200
0-00000000-00,211,0,0,0.00,0.00,8650410100000,2627.12,200
0-00000000-00,213,0,101,0.00,0.00,8650420100000,6593.94,200
0-00000000-00,250,0,0,0.00,0.00,8650410100000,4200.00,250
0-00000000-00,252,0,0,0.00,0.00,8650410100000,1209.08,250
0-00000000-00,258,0,0,0.00,0.00,8650410100000,1233.03,250
0-00000000-00,295,0,0,0.00,0.00,8650410100000,14838.81,295
0-00000000-00,295,0,101,0.00,0.00,8650420100000,17173.67,295
0-00000000-00,407,0,101,0.00,0.00,8650420100000,3525.00,400
0-00000000-00,713,0,0,0.00,0.00,8650410100000,326.20,700
1000088-01184005-00,258,0,0,56000.00,0.00,8650110510800,34132.41,250
1000088-01184005-00,258,8650110510800,0,0.00,34132.41,8650410200000,2470.80,250
1000093-01914322-00,258,0,0,0.00,0.00,8650410300000,4.62,250
1000093-01914322-00,258,0,0,35000.00,0.00,8650110510800,3712.51,250
1000122-01184367-00,213,0,0,14000.00,0.00,8650110510800,713.68,200
1000139-01442096-01,903,0,0,0.00,0.00,8650410300000,23.88,900
1000139-01442096-01,903,0,0,16887.44,0.00,8650110510800,12174.49,900
1000152-01267977-00,713,0,0,22000.00,0.00,8650110510800,7000.70,700
1000153-00080305-00,102,0,0,2900.00,0.00,8650110550400,1413.63,100
1000176-01184153-00,258,0,0,24500.00,0.00,8650110510800,8951.55,250
1000222-01184267-00,713,0,0,11700.00,0.00,8650110510400,9228.20,700
1000229-01556585-00,258,0,0,0.00,0.00,8650410300000,4.08,250
1000229-01556585-00,258,0,0,35000.00,0.00,8650110510800,2627.35,250
1000235-01911678-00,213,0,0,14000.00,0.00,8650110510800,8802.54,200
1000333-02460335-00,713,0,0,0.00,0.00,8650410300000,12.08,700
1000333-02460335-00,713,0,0,20580.00,0.00,8650110510300,6171.55,700
1000344-01525151-00,213,0,0,3000.00,0.00,8650110510800,277.68,200
10004-00003153-00,213,0,101,6000.00,0.00,8650120540100,3502.98,200
10004-00003153-00,213,8650120540100,0,0.00,3502.98,8650410200000,725.28,200
1000493-01184893-00,310,0,0,20000.00,0.00,8650110510300,3799.95,300
1000508-01638392-01,903,0,0,0.00,0.00,8650410300000,3.56,900
100052-00079980-00,713,0,0,3000.00,0.00,8650110550600,2393.46,700
1000536-01883973-00,804,0,0,0.00,0.00,8650410300000,51.60,800
1000536-01883973-00,804,0,0,80000.00,0.00,8650110510700,40058.54,800
1000536-01883973-00,804,8650110510700,0,0.00,40058.54,8650410200000,2449.00,800
1000541-01185367-00,258,0,0,20500.00,0.00,8650110510100,10406.20,250
1000590-01318704-00,213,0,0,7000.00,0.00,8650110510800,2391.58,200
1000596-00261649-00,713,0,0,10500.00,0.00,8650110550800,6885.41,700
1000715-01185682-00,258,0,0,10000.00,0.00,8650110510800,7513.93,250
1000718-02112982-00,407,0,0,0.00,0.00,8650410300000,7.29,400
1000718-02112982-00,407,0,0,10000.00,0.00,8650110510800,4963.06,400
100075-00144108-00,310,0,0,1570.00,0.00,8650110530800,875.18,300
1000758-01185663-00,258,0,0,42000.00,0.00,8650110510800,12593.91,250
1000771-02133721-00,310,0,0,0.00,0.00,8650410300000,20.88,300
1000809-01840435-00,903,0,0,0.00,0.00,8650410300000,29.40,900
1000809-01840435-00,903,0,0,48000.00,0.00,8650110510800,15088.63,900
1000834-02532806-01,804,0,0,5597.76,0.00,8650110510300,2955.98,800
1000865-03217770-01,213,0,0,42002.70,0.00,8650110510800,27322.12,200
1000903-01374345-00,903,0,0,21000.00,0.00,8650110510100,3557.87,900
1000941-01190251-00,310,0,0,14000.00,0.00,8650110510800,7129.74,300
100104-00013338-00,213,0,101,1000.00,0.00,8650120530800,811.92,200
1001104-01186763-00,258,0,0,8000.00,0.00,8650110510800,815.20,250
1001118-01189807-00,713,0,0,14000.00,0.00,8650110510800,7000.04,700
1001154-01865401-00,310,0,0,0.00,0.00,8650410300000,7.00,300
1001154-01865401-00,310,0,0,20580.00,0.00,8650110510800,4483.98,300
1001167-01982993-00,258,0,0,0.00,0.00,8650410300000,2.92,250
1001175-01681709-00,713,0,0,48020.00,0.00,8650110510300,28646.49,700
1001175-01681709-00,713,8650110510300,0,0.00,28646.49,8650410200000,1648.00,700
100135-02078526-00,205,0,0,0.00,0.00,8650410300000,7.04,200
100135-02078526-00,213,0,0,10500.00,0.00,8650110510800,3585.92,200
100136-00048310-00,258,0,101,2000.00,0.00,8650120530100,1963.79,250
100138-00041303-00,258,0,101,2500.00,0.00,8650120530800,1289.60,250
100138-00041303-00,258,8650120530800,0,0.00,1289.60,8650410200000,215.07,250
1001388-01187061-00,258,0,0,9000.00,0.00,8650110510800,3081.87,250
100139-00010271-00,213,0,0,8080.00,0.00,8650110530800,1683.49,200
100139-00011589-00,213,0,0,8000.00,0.00,8650110550800,4000.60,200
1001448-01284281-00,213,0,0,8300.00,0.00,8650110510700,6403.78,200
